@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1986,'2024/05/30 14:54:27:073',15,0,0,8.191709,3.736788,1.717186,2.298503,1.299698,2.465843,0.934941,1.679384,4.353213,2.331893,1.542456,1.838952,2.470612,4.081689,3.403985,4.349995,2.942426,2.904463,3.394891,4.022525,2.419288,1.711783,2.062908,0,?,?,0,0,0
1987,'2024/05/30 14:54:27:106',15,0,0,2.829626,4.192826,2.017557,2.58659,2.530533,2.576669,2.954323,2.860517,5.914955,3.055459,2.532618,2.902101,1.886218,4.623392,2.557581,3.2956,4.388348,2.913532,2.600575,3.319049,1.632672,1.99497,1.229766,0,?,?,0,0,0
1988,'2024/05/30 14:54:27:140',15,0,0,5.336226,4.388291,5.052898,3.28415,1.836369,2.154378,0.818402,1.987104,3.421506,2.805585,1.760716,3.890277,2.628869,3.225385,3.062457,3.330969,3.879149,3.334332,2.550071,3.055511,2.469755,1.271586,1.550348,0,?,?,0,0,0
1989,'2024/05/30 14:54:27:173',15,0,0,4.193573,2.993409,3.070833,3.928031,1.876552,1.693321,1.022357,1.142707,1.591465,1.973884,1.375825,1.925194,2.914739,3.737703,3.923712,4.010798,3.411305,2.827703,2.631875,1.85627,1.508698,1.44277,1.430852,0,?,?,0,0,0
1990,'2024/05/30 14:54:27:207',15,0,0,0.794,10.874323,17.862656,30.370394,35.571671,38.524719,12.139328,26.513805,29.598185,17.606153,13.002106,7.485144,6.156394,6.097091,5.705976,3.994524,4.231466,4.197643,3.167146,3.982865,5.381837,4.706675,3.558351,0,?,?,0,0,0
1991,'2024/05/30 14:54:27:240',15,0,0,6.798423,7.092706,18.119503,18.113787,17.670927,41.828556,17.512098,14.189059,20.360245,25.494907,6.969974,8.58765,3.713146,5.19526,9.887586,7.854976,5.292381,3.683382,3.227021,2.044507,2.165214,2.29445,1.973158,0,?,?,0,0,0
1992,'2024/05/30 14:54:27:273',15,0,0,8.678978,8.955467,15.788585,2.207459,10.478532,6.76,2.533921,1.736706,3.650606,2.870229,2.445027,2.989154,3.109757,1.748493,3.040652,3.363885,3.494328,2.933517,1.803148,0.943277,1.259086,1.560377,1.348268,0,?,?,0,0,0
1993,'2024/05/30 14:54:27:307',15,0,0,6.350175,2.42928,23.122849,28.416365,11.09968,7.077947,1.589857,1.783644,4.369404,4.8061,1.698073,2.496675,3.188702,1.879511,5.955575,7.026409,9.068136,7.95962,6.110456,9.422108,5.364977,4.232766,2.360992,0,?,?,0,0,0
1994,'2024/05/30 14:54:27:340',15,0,0,9.696924,12.238111,18.782768,5.422794,7.013474,3.781921,1.655813,5.319588,5.013754,7.651569,4.359882,3.222898,4.697828,4.802305,4.853345,5.25113,6.784827,4.109921,2.719948,1.877903,2.102929,1.88846,1.43866,0,?,?,0,0,0
1995,'2024/05/30 14:54:27:373',15,0,0,9.591166,12.271221,16.437992,9.831308,2.605757,2.22714,2.22026,1.688794,2.595417,1.447216,1.627806,2.957781,3.966603,2.04357,3.869756,4.735892,4.997558,2.732856,3.211317,2.839882,1.932698,2.214156,1.535623,0,?,?,0,0,0
1996,'2024/05/30 14:54:27:406',15,0,0,11.844161,10.274214,5.15578,3.159344,5.063853,3.546976,2.644766,2.516735,1.690693,1.534114,1.847922,3.863032,2.921379,2.792089,2.321572,4.167957,3.561513,2.273499,1.596985,2.137469,1.459129,1.839221,1.851338,0,?,?,0,0,0
1997,'2024/05/30 14:54:27:440',15,0,0,5.343335,4.758291,11.298069,8.118509,3.194702,3.178877,2.59817,5.049249,3.902036,2.398485,1.732454,2.006869,2.163315,3.854188,5.792912,4.990325,3.676563,2.634634,2.371344,1.873303,2.940225,3.521362,3.151916,0,?,?,0,0,0
1998,'2024/05/30 14:54:27:473',15,0,0,11.088578,5.239933,10.553354,9.995258,6.525041,4.537386,3.527092,3.73338,3.659782,4.819576,2.570775,3.153073,2.498953,3.861267,3.902487,4.792892,4.935596,2.892413,2.543567,3.367613,2.323577,2.12179,1.562337,0,?,?,0,0,0
1999,'2024/05/30 14:54:27:506',15,0,0,9.706836,12.261698,9.6644,9.531845,5.960996,17.923281,9.589665,13.278564,22.199259,10.046762,4.416557,5.858614,2.672144,2.285565,4.528072,3.059354,2.583019,1.430763,1.19137,2.075503,2.447108,1.285537,1.129481,0,?,?,0,0,0
2000,'2024/05/30 14:54:27:539',15,0,0,16.470757,10.745233,9.130658,7.80862,5.83901,3.711162,2.785342,1.317922,5.160154,2.604731,2.52342,4.553809,5.508137,3.366261,3.123761,4.443557,5.138492,2.93415,3.460216,3.323869,2.398136,1.853744,2.105878,0,?,?,0,0,0
