@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
465,'2024/05/31 12:47:08:670',2,0,0,0,2
466,'2024/05/31 12:47:08:721',2,0,0,0,2
467,'2024/05/31 12:47:08:773',2,0,0,0,2
468,'2024/05/31 12:47:08:824',2,0,0,0,2
469,'2024/05/31 12:47:08:876',2,0,0,0,2
470,'2024/05/31 12:47:08:927',2,0,0,0,2
471,'2024/05/31 12:47:08:979',2,0,0,0,2
472,'2024/05/31 12:47:09:030',2,0,0,0,2
473,'2024/05/31 12:47:09:081',2,0,0,0,2
474,'2024/05/31 12:47:09:114',2,0,0,0,2
475,'2024/05/31 12:47:09:141',2,0,0,0,2
476,'2024/05/31 12:47:09:167',2,0,0,0,2
477,'2024/05/31 12:47:09:197',2,0,0,0,2
